,Data,Godzina,ZAP
564,20160124,13,18918.125
565,20160124,14,19073.45
566,20160124,15,18720.35
567,20160124,16,18393.575
568,20160124,17,19154.45
569,20160124,18,20184.6
570,20160124,19,20287.413
571,20160124,20,20160.888
572,20160124,21,19636.988
573,20160124,22,18716.675
574,20160124,23,17783.963
575,20160124,24,16636.063000000002
576,20160125,1,15863.638
577,20160125,2,15426.788
578,20160125,3,15339.088
579,20160125,4,15269.613000000001
580,20160125,5,15666.9
581,20160125,6,16667.488
582,20160125,7,19659.675
583,20160125,8,21550.725
584,20160125,9,22638.763
585,20160125,10,23201.963
586,20160125,11,23250.1
587,20160125,12,23561.388
588,20160125,13,23581.662999999997
589,20160125,14,23877.987999999998
590,20160125,15,23468.338
591,20160125,16,23252.162999999997
592,20160125,17,23825.037999999997
593,20160125,18,24430.588
594,20160125,19,24106.287999999997
595,20160125,20,23917.65
596,20160125,21,23165.938
597,20160125,22,21656.938
598,20160125,23,20129.263
599,20160125,24,18666.25
600,20160126,1,17535.775
601,20160126,2,16843.45
602,20160126,3,16501.763
603,20160126,4,16503.313000000002
604,20160126,5,16790.3
605,20160126,6,17455.338
606,20160126,7,19963.7
607,20160126,8,21694.025
608,20160126,9,22422.537999999997
609,20160126,10,22833.375
610,20160126,11,22892.987999999998
611,20160126,12,23071.513
612,20160126,13,23247.625
613,20160126,14,23434.237999999998
614,20160126,15,22972.975
615,20160126,16,22699.987999999998
616,20160126,17,23301.825
617,20160126,18,23986.2
618,20160126,19,23628.675
619,20160126,20,23235.612999999998
620,20160126,21,22615.063
621,20160126,22,21158.063
622,20160126,23,19544.988
623,20160126,24,18238.513
624,20160127,1,17133.15
625,20160127,2,16606.838
626,20160127,3,16281.125
627,20160127,4,16271.7
628,20160127,5,16449.513
629,20160127,6,17229.075
630,20160127,7,19617.1
631,20160127,8,21299.425
632,20160127,9,22209.5
633,20160127,10,22705.787999999997
634,20160127,11,22676.925
635,20160127,12,22939.938
636,20160127,13,22973.85
637,20160127,14,23165.237999999998
638,20160127,15,22755.55
639,20160127,16,22552.338
640,20160127,17,23018.85
641,20160127,18,23788.2
